"Theta [deg]","dB(RealizedGainTotal) [] - Freq='3.2GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal)_1 [] - Freq='3.2GHz' Theta='90deg'"
55,-0.501901442501747,2.5017282330598
56,-0.393976855215654,2.47144643668976
57,-0.286151149844371,2.44308787838031
58,-0.177963134581447,2.41720213618763
59,-0.0690205687840341,2.39428037021705
60,0.0409901145624982,2.37474600952371
61,0.152296469296121,2.3589474060896
62,0.265035514593537,2.3471526079387
63,0.37925227988882,2.33954630796362
64,0.494901452311698,2.33622893142212
65,0.61185194744902,2.33721774068794
66,0.729894028716105,2.34244976649704
67,0.848748444824104,2.35178632420985
68,0.968076952807507,2.36501884269625
69,1.08749355236693,2.38187572133905
70,1.20657577466364,2.40202993467645
71,1.32487543730751,2.42510712073469
72,1.44192838461105,2.45069391423293
73,1.55726286349891,2.47834631597047
74,1.67040632601968,2.50759792188886
75,1.78089058619421,2.53796786741004
76,1.88825538173916,2.56896837334007
77,1.99205049302698,2.60011180817461
78,2.09183664860585,2.63091720775333
79,2.18718549752183,2.66091621681183
80,2.27767895450334,2.6896584380716
81,2.36290822727064,2.71671619306069
82,2.4424728193178,2.74168871478051
83,2.51597977056107,2.76420580547435
84,2.58304335655647,2.78393100293613
85,2.6432854188009,2.80056430585916
86,2.6963364478793,2.81384451255305
87,2.74183749133253,2.8235512279168
88,2.77944291185221,2.82950659090169
89,2.80882398072585,2.83157676896922
90,2.82967325747318,2.82967325747318
91,2.84170967960283,2.82375401076146
92,2.84468426586268,2.81382441845789
93,2.83838632108514,2.79993812525205
94,2.82265001906706,2.78219767605904
95,2.79736122988625,2.76075495113383
96,2.76246444753304,2.73581133823793
97,2.71796966068842,2.70761757195612
98,2.66395899212037,2.67647315455942
99,2.6005929091493,2.6427252593545
100,2.52811577822751,2.60676700733171
101,2.44686050101382,2.56903500234286
102,2.35725192862381,2.53000601031777
103,2.25980870761203,2.49019267551458
104,2.15514317000022,2.45013818277243
105,2.04395884657792,2.41040980026132
106,1.92704516615312,2.37159127297867
107,1.80526891378729,2.33427408329046
108,1.67956207008563,2.29904765040371
109,1.55090575327512,2.26648860401141
110,1.42031014619348,2.23714933554808
111,1.28879051686453,2.21154609944094
112,1.15733973146718,2.19014700131419
113,1.02689799833925,2.17336026446928
114,0.898320943822092,2.16152320409883
115,0.772347464470958,2.15489235505729
116,0.649569074710391,2.15363518932187
117,0.530402621063858,2.1578238212275
118,0.415068218127773,2.16743103241292
119,0.303574051364394,2.18232885727121
120,0.1957092902483,2.20228985940127
121,0.0910457978600071,2.22699110816844
122,-0.0110513255243328,2.25602074140294
123,-0.111404984062903,2.28888688512323
124,-0.211000312602684,2.32502860265945
125,-0.310953520630814,2.36382847042418
126,-0.41247723178344,2.40462632993979
127,-0.516844243447411,2.44673374677081
128,-0.625351501064165,2.48944871511809
129,-0.73928581892537,2.53207017811396
130,-0.859892537887897,2.57391198285173
131,-0.988347944355009,2.61431594969134
132,-1.12573592898902,2.65266380123492
133,-1.27302906944741,2.68838776206149
134,-1.43107409620446,2.7209797014329
135,-1.60058154896277,2.74999874462681
136,-1.78211934863944,2.77507732254174
137,-1.97610998582936,2.79592566319733
138,-2.1828310473795,2.81233475317362
139,-2.40241885371729,2.82417781311678
140,-2.63487504670197,2.83141034091228
141,-2.88007603782093,2.83406878100084
142,-3.13778528751725,2.83226788066914
143,-3.40766842755086,2.82619679598782
144,-3.68931125026859,2.81611401316674
145,-3.98224056421931,2.80234115690475
146,-4.28594785040432,2.78525576686026
147,-4.59991554762131,2.76528313721635
148,-4.92364565464234,2.7428873324791
149,-5.25669017417003,2.71856151459608
150,-5.59868275889698,2.69281774111827
151,-5.94937078039086,2.6661764198515
