"Theta [deg]","dB(GainTotal) [] - Freq='2.9GHz' Phi='0deg'","dB(GainTotal) [] - Freq='2.9GHz' Phi='90.0000000000002deg'"
-91,-4.83824158139959,-21.2209370912579
-90,-4.69072303775567,-20.9768676718564
-89,-4.54933592464568,-20.8053503952765
-88,-4.41418040734554,-20.6984763160296
-87,-4.28541175035523,-20.6486300153462
-86,-4.16323629664061,-20.6481614814968
-85,-4.04790672701092,-20.6890260594628
-84,-3.93971664364945,-20.7624304632661
-83,-3.83899450323602,-20.8585334235796
-82,-3.74609690365609,-20.9662755154915
-81,-3.66140120364126,-21.0734434407108
-80,-3.58529742662043,-21.1670899460123
-79,-3.51817936849619,-21.2344008059654
-78,-3.46043479408569,-21.2639946179281
-77,-3.41243456895432,-21.2474616637085
-76,-3.37452053318856,-21.1807639791872
-75,-3.34699188301346,-21.0650553575059
-74,-3.33008978815107,-20.9066292070742
-73,-3.3239799427012,-20.7160166043882
-72,-3.32873273366143,-20.506556863447
-71,-3.34430072732459,-20.292880264347
-70,-3.37049323967789,-20.0896514094077
-69,-3.40694790127154,-19.9107241853669
-68,-3.45309938904769,-19.768673785214
-67,-3.50814592762473,-19.6745509542885
-66,-3.57101481930076,-19.6376328977534
-65,-3.64032920398154,-19.6648722449178
-64,-3.71437951591743,-19.7596074177157
-63,-3.79110467726199,-19.9188374842813
-62,-3.86808982449373,-20.1279936094727
-61,-3.94258900274563,-20.3520179734525
-60,-4.01158224997627,-20.5232145617113
-59,-4.07187605138059,-20.5333238491933
-58,-4.12025337598855,-20.2502790004007
-57,-4.1536737049474,-19.5771601901105
-56,-4.16951461736877,-18.5176415127284
-55,-4.16583585091408,-17.1730716075928
-54,-4.14163699979196,-15.6750230797431
-53,-4.09707479243071,-14.1290020761916
-52,-4.03360838903636,-12.6002805040316
-51,-3.95405232154606,-11.1227188135474
-50,-3.862534254676,-9.71095106288273
-49,-3.76437366768036,-8.36920541447827
-48,-3.66591227553263,-7.0965286302823
-47,-3.57433388449457,-5.88961799053769
-46,-3.49751002984951,-4.7442837602191
-45,-3.44390061444286,-3.65617522589057
-44,-3.42252946826052,-2.62112211307961
-43,-3.44304627787004,-1.63527876640301
-42,-3.51587981711149,-0.695169227714609
-41,-3.6524811666633,0.202315761910952
-40,-3.86564326999861,1.05994346803535
-39,-4.16984788065897,1.88017210651071
-38,-4.58148807880894,2.66518531014032
-37,-5.11852152299924,3.41692493796246
-36,-5.79828307317394,4.13712088324286
-35,-6.62988601101495,4.82731747361458
-34,-7.59169666295919,5.48889651744252
-33,-8.57344134111434,6.12309725946313
-32,-9.27347908893061,6.73103358664275
-31,-9.20389370993732,7.31370883676364
-30,-8.12335648505987,7.87202854215705
-29,-6.3682277258716,8.40681140763389
-28,-4.41044825257644,8.91879878452789
-27,-2.50858063824676,9.4086628665754
-26,-0.75028075390423,9.87701380023985
-25,0.850279358363357,10.3244058728093
-24,2.30324155955802,10.7513429162276
-23,3.62456123551433,11.1582830429013
-22,4.8298819962308,11.5456428112662
-21,5.93283275515329,11.9138009032755
-20,6.94481348310721,12.2631013827782
-19,7.87523274058576,12.5938565926275
-18,8.73183983989338,12.9063497389771
-17,9.52103629136647,13.2008372033118
-16,10.2481364926497,13.4775506160954
-15,10.9175765059229,13.7366987202995
-14,11.5330782913926,13.9784690483531
-13,12.097778129467,14.2030294320777
-12,12.6143270343703,14.410529361835
-11,13.084969502123,14.6011012083203
-10,13.5116055444932,14.7748613181003
-9,13.8958398032379,14.9319109920378
-8,14.2390206275936,15.0723373541275
-7,14.5422712970106,15.1962141169079
-6,14.8065150366,15.3036022484842
-5,15.0324950652519,15.3945505452493
-4,15.2207906041025,15.4690961135793
-3,15.3718295314761,15.5272647630878
-2,15.4858981810723,15.5690713134045
-1,15.5631486289584,15.5945198158808
0,15.6036036910922,15.6036036910922
1,15.6071597481074,15.5963057824751
2,15.573587420871,15.5725983258932
3,15.5025300325958,15.5324428343505
4,15.3934997050339,15.4757898964307
5,15.2458708411839,15.4025788863422
6,15.0588706378397,15.3127375826437
7,14.831566139505,15.2061816918195
8,14.5628471795655,15.0828142718272
9,14.251404340418,14.9425250495379
10,13.8957007814079,14.7851896246032
11,13.4939364040985,14.6106685506779
12,13.0440023095306,14.4188062830743
13,12.5434227966562,14.2094299797697
14,11.989281177535,13.9823481401967
15,11.3781243355008,13.7373490633442
16,10.7058390829563,13.4741991033261
17,9.96749080781161,13.1926406966477
18,9.15711146034809,12.8923901308209
19,8.26741961759391,12.573135018644
20,7.28945083748276,12.2345314362389
21,6.21207469870161,11.8762006756897
22,5.02138580814344,11.4977255547096
23,3.70001175068677,11.0986462160174
24,2.22658397937554,10.678455337918
25,0.576301072532989,10.2365926648634
26,-1.2742239153388,9.77243875258582
27,-3.32731144229037,9.28530780700284
28,-5.49862924284064,8.77443948021367
